Pivot Wavelength,Flux Density
2057.960085337329,5.527161273048932e-09
2246.9531345248747,4.5911193762717596e-09
2582.5293645819106,3.819491069636353e-09
3467.023178253313,3.1271799439560356e-09
4349.544286459305,5.0627489717718e-09
5424.609243737185,3.724309756824527e-09
